"","year","month","day","periodnum","snowave","starttime","endtime","cloudcover","avewind","precip","temp","plantcomm","pcnum","deer","moose","elk","wolf","coyote","fox","caribou","lynx","fisher","marten","bison","mink","otter","grouse","hare","weasel","ermine","mouse","raven","squirrel","wolverine","muskrat","mole","shrew","vole","other","richness"
"1",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"6",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"rip",7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"9",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"rip",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"13",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"21",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"22",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"rip",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"rip",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"31",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"32",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"da",1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"33",2002,3,18,"3",30,"1120","1540",NA,4,NA,-11,"mw",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
